show_id,country_1,country_2,country_3,country_4,country_5,country_6,country_7,country_8,country_9,country_10,country_11,country_12
s58,Japan,null,null,null,null,null,null,null,null,null,null,null
s59,Japan,null,null,null,null,null,null,null,null,null,null,null
s60,Japan,null,null,null,null,null,null,null,null,null,null,null
s61,Japan,null,null,null,null,null,null,null,null,null,null,null
s62,Japan,null,null,null,null,null,null,null,null,null,null,null
s63,Japan,null,null,null,null,null,null,null,null,null,null,null
s64,Japan,null,null,null,null,null,null,null,null,null,null,null
s65,null,null,null,null,null,null,null,null,null,null,null,null
s66,United Kingdom,null,null,null,null,null,null,null,null,null,null,null
s67,India,null,null,null,null,null,null,null,null,null,null,null
s68,United States,null,null,null,null,null,null,null,null,null,null,null
s69,null,null,null,null,null,null,null,null,null,null,null,null
s70,India,null,null,null,null,null,null,null,null,null,null,null
s71,null,null,null,null,null,null,null,null,null,null,null,null
s72,null,null,null,null,null,null,null,null,null,null,null,null
s73,United Kingdom,null,null,null,null,null,null,null,null,null,null,null
s74,Nigeria,null,null,null,null,null,null,null,null,null,null,null
s75,null,null,null,null,null,null,null,null,null,null,null,null
s76,null,null,null,null,null,null,null,null,null,null,null,null
s77,Japan,null,null,null,null,null,null,null,null,null,null,null
s78,null,null,null,null,null,null,null,null,null,null,null,null
s79,null,null,null,null,null,null,null,null,null,null,null,null
s80,null,null,null,null,null,null,null,null,null,null,null,null
s81,null,null,null,null,null,null,null,null,null,null,null,null
s82,United States,null,null,null,null,null,null,null,null,null,null,null
s83,United States,null,null,null,null,null,null,null,null,null,null,null
s84,null,null,null,null,null,null,null,null,null,null,null,null
s85,Nigeria,null,null,null,null,null,null,null,null,null,null,null
s86,null,null,null,null,null,null,null,null,null,null,null,null
s87,null,null,null,null,null,null,null,null,null,null,null,null
s88,null,null,null,null,null,null,null,null,null,null,null,null
s89,null,null,null,null,null,null,null,null,null,null,null,null
s90,null,null,null,null,null,null,null,null,null,null,null,null
s91,Spain,United States,null,null,null,null,null,null,null,null,null,null
s92,France,null,null,null,null,null,null,null,null,null,null,null
s93,Belgium,null,null,null,null,null,null,null,null,null,null,null
s94,null,null,null,null,null,null,null,null,null,null,null,null
s95,United Kingdom,United States,null,null,null,null,null,null,null,null,null,null
s96,United States,United Kingdom,null,null,null,null,null,null,null,null,null,null
s97,United States,null,null,null,null,null,null,null,null,null,null,null
s98,United States,null,null,null,null,null,null,null,null,null,null,null
s99,United Kingdom,null,null,null,null,null,null,null,null,null,null,null
s100,France,United States,null,null,null,null,null,null,null,null,null,null
s101,null,null,null,null,null,null,null,null,null,null,null,null
s102,United States,null,null,null,null,null,null,null,null,null,null,null
s103,null,null,null,null,null,null,null,null,null,null,null,null
s104,null,null,null,null,null,null,null,null,null,null,null,null
s105,South Korea,null,null,null,null,null,null,null,null,null,null,null
s106,India,null,null,null,null,null,null,null,null,null,null,null
s107,United States,null,null,null,null,null,null,null,null,null,null,null
s108,United States,null,null,null,null,null,null,null,null,null,null,null
s109,Australia,null,null,null,null,null,null,null,null,null,null,null
s110,Spain,null,null,null,null,null,null,null,null,null,null,null
s111,null,null,null,null,null,null,null,null,null,null,null,null
s112,United States,Singapore,null,null,null,null,null,null,null,null,null,null
s113,null,null,null,null,null,null,null,null,null,null,null,null
s114,null,null,null,null,null,null,null,null,null,null,null,null
s115,India,null,null,null,null,null,null,null,null,null,null,null
s116,United Kingdom,Australia,France,null,null,null,null,null,null,null,null,null
s117,India,null,null,null,null,null,null,null,null,null,null,null
s118,United Kingdom,United States,null,null,null,null,null,null,null,null,null,null
s119,India,null,null,null,null,null,null,null,null,null,null,null
s120,null,null,null,null,null,null,null,null,null,null,null,null
s121,Australia,null,null,null,null,null,null,null,null,null,null,null
s122,null,null,null,null,null,null,null,null,null,null,null,null
s123,United Kingdom,Australia,France,United States,null,null,null,null,null,null,null,null
s124,null,null,null,null,null,null,null,null,null,null,null,null
s125,South Korea,null,null,null,null,null,null,null,null,null,null,null
s126,United States,null,null,null,null,null,null,null,null,null,null,null
s127,India,null,null,null,null,null,null,null,null,null,null,null
s128,United States,Canada,null,null,null,null,null,null,null,null,null,null
s129,null,null,null,null,null,null,null,null,null,null,null,null
s130,Germany,United States,null,null,null,null,null,null,null,null,null,null
s131,null,null,null,null,null,null,null,null,null,null,null,null
s132,United States,null,null,null,null,null,null,null,null,null,null,null
s133,null,null,null,null,null,null,null,null,null,null,null,null
s134,South Africa,United States,null,null,null,null,null,null,null,null,null,null
s135,United States,Mexico,null,null,null,null,null,null,null,null,null,null
s136,United States,Italy,France,Japan,null,null,null,null,null,null,null,null
s137,United States,Italy,Romania,United Kingdom,null,null,null,null,null,null,null,null
s138,Australia,United States,null,null,null,null,null,null,null,null,null,null
s139,United States,null,null,null,null,null,null,null,null,null,null,null
s140,United States,null,null,null,null,null,null,null,null,null,null,null
s141,Argentina,Venezuela,null,null,null,null,null,null,null,null,null,null
s142,United States,United Kingdom,Canada,null,null,null,null,null,null,null,null,null
s143,Germany,United States,null,null,null,null,null,null,null,null,null,null
s144,United States,null,null,null,null,null,null,null,null,null,null,null
s145,United States,null,null,null,null,null,null,null,null,null,null,null
s146,United States,null,null,null,null,null,null,null,null,null,null,null
s147,United States,null,null,null,null,null,null,null,null,null,null,null
s148,null,null,null,null,null,null,null,null,null,null,null,null
s149,null,null,null,null,null,null,null,null,null,null,null,null
s150,United States,null,null,null,null,null,null,null,null,null,null,null
s151,United States,null,null,null,null,null,null,null,null,null,null,null
s152,China,Hong Kong,null,null,null,null,null,null,null,null,null,null
s153,United States,null,null,null,null,null,null,null,null,null,null,null
s154,Russia,null,null,null,null,null,null,null,null,null,null,null
s155,Japan,null,null,null,null,null,null,null,null,null,null,null
s156,United Kingdom,United States,null,null,null,null,null,null,null,null,null,null
s157,United States,null,null,null,null,null,null,null,null,null,null,null
s158,Canada,null,null,null,null,null,null,null,null,null,null,null
s159,United States,null,null,null,null,null,null,null,null,null,null,null
s160,Hong Kong,null,null,null,null,null,null,null,null,null,null,null
s161,United States,null,null,null,null,null,null,null,null,null,null,null
s162,United States,null,null,null,null,null,null,null,null,null,null,null
s163,United States,China,Hong Kong,null,null,null,null,null,null,null,null,null
s164,United States,null,null,null,null,null,null,null,null,null,null,null
s165,United States,null,null,null,null,null,null,null,null,null,null,null
s166,null,null,null,null,null,null,null,null,null,null,null,null
s167,Italy,United States,null,null,null,null,null,null,null,null,null,null
s168,United States,Canada,null,null,null,null,null,null,null,null,null,null
s169,United States,null,null,null,null,null,null,null,null,null,null,null
s170,United States,null,null,null,null,null,null,null,null,null,null,null
s171,United States,null,null,null,null,null,null,null,null,null,null,null
s172,United States,null,null,null,null,null,null,null,null,null,null,null
s173,United States,Germany,null,null,null,null,null,null,null,null,null,null
s174,United States,null,null,null,null,null,null,null,null,null,null,null
s175,United States,null,null,null,null,null,null,null,null,null,null,null
s176,United States,null,null,null,null,null,null,null,null,null,null,null
s177,United States,null,null,null,null,null,null,null,null,null,null,null
s178,United Kingdom,United States,null,null,null,null,null,null,null,null,null,null
s179,United States,null,null,null,null,null,null,null,null,null,null,null
s180,United States,null,null,null,null,null,null,null,null,null,null,null
s181,null,null,null,null,null,null,null,null,null,null,null,null
s182,null,null,null,null,null,null,null,null,null,null,null,null
s183,United States,null,null,null,null,null,null,null,null,null,null,null
s184,United States,null,null,null,null,null,null,null,null,null,null,null
s185,United States,null,null,null,null,null,null,null,null,null,null,null
s186,null,null,null,null,null,null,null,null,null,null,null,null
s187,null,null,null,null,null,null,null,null,null,null,null,null
s188,null,null,null,null,null,null,null,null,null,null,null,null
s189,France,null,null,null,null,null,null,null,null,null,null,null
s190,null,null,null,null,null,null,null,null,null,null,null,null
s191,India,null,null,null,null,null,null,null,null,null,null,null
s192,United Kingdom,Canada,United States,null,null,null,null,null,null,null,null,null
s193,India,null,null,null,null,null,null,null,null,null,null,null
s194,null,South Korea,null,null,null,null,null,null,null,null,null,null
s195,null,null,null,null,null,null,null,null,null,null,null,null
s196,India,null,null,null,null,null,null,null,null,null,null,null
s197,null,null,null,null,null,null,null,null,null,null,null,null
s198,null,null,null,null,null,null,null,null,null,null,null,null
s199,Nigeria,null,null,null,null,null,null,null,null,null,null,null
s200,India,null,null,null,null,null,null,null,null,null,null,null
s201,India,null,null,null,null,null,null,null,null,null,null,null
s202,India,null,null,null,null,null,null,null,null,null,null,null
s203,India,null,null,null,null,null,null,null,null,null,null,null
s204,India,null,null,null,null,null,null,null,null,null,null,null
s205,India,null,null,null,null,null,null,null,null,null,null,null
s206,India,null,null,null,null,null,null,null,null,null,null,null
s207,India,null,null,null,null,null,null,null,null,null,null,null
s208,India,null,null,null,null,null,null,null,null,null,null,null
s209,India,null,null,null,null,null,null,null,null,null,null,null
s210,India,null,null,null,null,null,null,null,null,null,null,null
s211,India,null,null,null,null,null,null,null,null,null,null,null
s212,India,null,null,null,null,null,null,null,null,null,null,null
s213,Ireland,null,null,null,null,null,null,null,null,null,null,null
s214,null,null,null,null,null,null,null,null,null,null,null,null
s215,null,null,null,null,null,null,null,null,null,null,null,null
s216,India,null,null,null,null,null,null,null,null,null,null,null
s217,India,null,null,null,null,null,null,null,null,null,null,null
s218,India,null,null,null,null,null,null,null,null,null,null,null
s219,null,null,null,null,null,null,null,null,null,null,null,null
s220,Japan,null,null,null,null,null,null,null,null,null,null,null
s221,United States,null,null,null,null,null,null,null,null,null,null,null
s222,null,null,null,null,null,null,null,null,null,null,null,null
s223,null,null,null,null,null,null,null,null,null,null,null,null
s224,null,null,null,null,null,null,null,null,null,null,null,null
s225,null,null,null,null,null,null,null,null,null,null,null,null
s226,null,null,null,null,null,null,null,null,null,null,null,null
s227,null,null,null,null,null,null,null,null,null,null,null,null
s228,United States,null,null,null,null,null,null,null,null,null,null,null
s229,United States,United Kingdom,null,null,null,null,null,null,null,null,null,null
s230,United States,null,null,null,null,null,null,null,null,null,null,null
s231,null,null,null,null,null,null,null,null,null,null,null,null
s232,United States,null,null,null,null,null,null,null,null,null,null,null
s233,United States,null,null,null,null,null,null,null,null,null,null,null
s234,United Kingdom,null,null,null,null,null,null,null,null,null,null,null
s235,null,null,null,null,null,null,null,null,null,null,null,null
s236,null,null,null,null,null,null,null,null,null,null,null,null
s237,null,null,null,null,null,null,null,null,null,null,null,null
s238,null,null,null,null,null,null,null,null,null,null,null,null
s239,null,null,null,null,null,null,null,null,null,null,null,null
s240,null,null,null,null,null,null,null,null,null,null,null,null
s241,null,null,null,null,null,null,null,null,null,null,null,null
s242,United States,null,null,null,null,null,null,null,null,null,null,null
s243,null,null,null,null,null,null,null,null,null,null,null,null
s244,null,null,null,null,null,null,null,null,null,null,null,null
s245,null,null,null,null,null,null,null,null,null,null,null,null
s246,null,null,null,null,null,null,null,null,null,null,null,null
s247,null,null,null,null,null,null,null,null,null,null,null,null
s248,United States,null,null,null,null,null,null,null,null,null,null,null
s249,null,null,null,null,null,null,null,null,null,null,null,null
s250,null,null,null,null,null,null,null,null,null,null,null,null
s251,null,null,null,null,null,null,null,null,null,null,null,null
s252,United States,null,null,null,null,null,null,null,null,null,null,null
s253,null,null,null,null,null,null,null,null,null,null,null,null
s254,India,null,null,null,null,null,null,null,null,null,null,null
s255,United States,null,null,null,null,null,null,null,null,null,null,null
s256,null,null,null,null,null,null,null,null,null,null,null,null
s257,null,null,null,null,null,null,null,null,null,null,null,null
s258,null,null,null,null,null,null,null,null,null,null,null,null
s259,null,null,null,null,null,null,null,null,null,null,null,null
s260,India,Nepal,null,null,null,null,null,null,null,null,null,null
s261,null,null,null,null,null,null,null,null,null,null,null,null
s262,null,null,null,null,null,null,null,null,null,null,null,null
s263,null,null,null,null,null,null,null,null,null,null,null,null
s264,United States,null,null,null,null,null,null,null,null,null,null,null
s265,United States,null,null,null,null,null,null,null,null,null,null,null
s266,Japan,null,null,null,null,null,null,null,null,null,null,null
s267,India,null,null,null,null,null,null,null,null,null,null,null
s268,New Zealand,Australia,France,United States,null,null,null,null,null,null,null,null
s269,null,null,null,null,null,null,null,null,null,null,null,null
s270,Italy,null,null,null,null,null,null,null,null,null,null,null
s271,Italy,Brazil,Greece,null,null,null,null,null,null,null,null,null
s272,United States,null,null,null,null,null,null,null,null,null,null,null
s273,United States,null,null,null,null,null,null,null,null,null,null,null
s274,France,null,null,null,null,null,null,null,null,null,null,null
s275,United States,null,null,null,null,null,null,null,null,null,null,null
s276,Argentina,null,null,null,null,null,null,null,null,null,null,null
s277,Spain,null,null,null,null,null,null,null,null,null,null,null
s278,Jordan,null,null,null,null,null,null,null,null,null,null,null
s279,Colombia,null,null,null,null,null,null,null,null,null,null,null
s280,United States,Japan,null,null,null,null,null,null,null,null,null,null
s281,United States,null,null,null,null,null,null,null,null,null,null,null
s282,Nigeria,null,null,null,null,null,null,null,null,null,null,null
s283,Mexico,null,null,null,null,null,null,null,null,null,null,null
s284,Belgium,United Kingdom,null,null,null,null,null,null,null,null,null,null
s285,United Kingdom,United States,null,null,null,null,null,null,null,null,null,null
s286,Switzerland,United Kingdom,Australia,null,null,null,null,null,null,null,null,null
s287,United States,null,null,null,null,null,null,null,null,null,null,null
s288,null,null,null,null,null,null,null,null,null,null,null,null
s289,Colombia,null,null,null,null,null,null,null,null,null,null,null
s290,South Korea,null,null,null,null,null,null,null,null,null,null,null
s291,United States,null,null,null,null,null,null,null,null,null,null,null
s292,Japan,null,null,null,null,null,null,null,null,null,null,null
s293,United Kingdom,null,null,null,null,null,null,null,null,null,null,null
s294,South Africa,null,null,null,null,null,null,null,null,null,null,null
s295,null,null,null,null,null,null,null,null,null,null,null,null
s296,United States,null,null,null,null,null,null,null,null,null,null,null
s297,Israel,United States,null,null,null,null,null,null,null,null,null,null
s298,India,null,null,null,null,null,null,null,null,null,null,null
s299,Nigeria,null,null,null,null,null,null,null,null,null,null,null
s300,France,null,null,null,null,null,null,null,null,null,null,null
s301,Canada,United States,null,null,null,null,null,null,null,null,null,null
s302,India,null,null,null,null,null,null,null,null,null,null,null
s303,Brazil,null,null,null,null,null,null,null,null,null,null,null
s304,Argentina,null,null,null,null,null,null,null,null,null,null,null
s305,United Kingdom,null,null,null,null,null,null,null,null,null,null,null
s306,Argentina,Spain,null,null,null,null,null,null,null,null,null,null
s307,Nigeria,null,null,null,null,null,null,null,null,null,null,null
s308,United States,null,null,null,null,null,null,null,null,null,null,null
s309,United States,null,null,null,null,null,null,null,null,null,null,null
s310,null,null,null,null,null,null,null,null,null,null,null,null
s311,United States,null,null,null,null,null,null,null,null,null,null,null
s312,Mexico,null,null,null,null,null,null,null,null,null,null,null
s313,United States,null,null,null,null,null,null,null,null,null,null,null
s314,Taiwan,null,null,null,null,null,null,null,null,null,null,null
s315,United States,null,null,null,null,null,null,null,null,null,null,null
s316,United States,Nigeria,null,null,null,null,null,null,null,null,null,null
s317,Taiwan,null,null,null,null,null,null,null,null,null,null,null
s318,United States,null,null,null,null,null,null,null,null,null,null,null
s319,null,null,null,null,null,null,null,null,null,null,null,null
s320,Taiwan,null,null,null,null,null,null,null,null,null,null,null
s321,null,null,null,null,null,null,null,null,null,null,null,null
s322,Taiwan,null,null,null,null,null,null,null,null,null,null,null
s323,Taiwan,null,null,null,null,null,null,null,null,null,null,null
s324,United States,null,null,null,null,null,null,null,null,null,null,null
s325,Italy,null,null,null,null,null,null,null,null,null,null,null
s326,United States,null,null,null,null,null,null,null,null,null,null,null
s327,United States,null,null,null,null,null,null,null,null,null,null,null
s328,United States,United Kingdom,null,null,null,null,null,null,null,null,null,null
s329,Bulgaria,United States,null,null,null,null,null,null,null,null,null,null
s330,United States,Canada,null,null,null,null,null,null,null,null,null,null
s331,United States,Canada,null,null,null,null,null,null,null,null,null,null
s332,null,null,null,null,null,null,null,null,null,null,null,null
s333,United States,Mexico,null,null,null,null,null,null,null,null,null,null
s334,United States,null,null,null,null,null,null,null,null,null,null,null
s335,United States,null,null,null,null,null,null,null,null,null,null,null
s336,United States,null,null,null,null,null,null,null,null,null,null,null
s337,null,null,null,null,null,null,null,null,null,null,null,null
s338,United States,Canada,null,null,null,null,null,null,null,null,null,null
s339,Japan,null,null,null,null,null,null,null,null,null,null,null
s340,null,null,null,null,null,null,null,null,null,null,null,null
s341,United States,United Kingdom,null,null,null,null,null,null,null,null,null,null
s342,United States,null,null,null,null,null,null,null,null,null,null,null
s343,United States,null,null,null,null,null,null,null,null,null,null,null
s344,United States,null,null,null,null,null,null,null,null,null,null,null
s345,United States,null,null,null,null,null,null,null,null,null,null,null
s346,United States,Canada,null,null,null,null,null,null,null,null,null,null
s347,United States,null,null,null,null,null,null,null,null,null,null,null
s348,Spain,United Kingdom,United States,null,null,null,null,null,null,null,null,null
s349,United Kingdom,United States,null,null,null,null,null,null,null,null,null,null
s350,United States,null,null,null,null,null,null,null,null,null,null,null
s351,United States,null,null,null,null,null,null,null,null,null,null,null
s352,United States,Germany,null,null,null,null,null,null,null,null,null,null
s353,United States,China,null,null,null,null,null,null,null,null,null,null
s354,United States,null,null,null,null,null,null,null,null,null,null,null
s355,United States,null,null,null,null,null,null,null,null,null,null,null
s356,United States,null,null,null,null,null,null,null,null,null,null,null
s357,United States,France,null,null,null,null,null,null,null,null,null,null
s358,Spain,France,United Kingdom,United States,null,null,null,null,null,null,null,null
s359,United States,null,null,null,null,null,null,null,null,null,null,null
s360,United States,null,null,null,null,null,null,null,null,null,null,null
s361,United States,null,null,null,null,null,null,null,null,null,null,null
s362,United States,null,null,null,null,null,null,null,null,null,null,null
s363,null,null,null,null,null,null,null,null,null,null,null,null
s364,null,null,null,null,null,null,null,null,null,null,null,null
s365,null,null,null,null,null,null,null,null,null,null,null,null
s366,null,France,Algeria,null,null,null,null,null,null,null,null,null
s367,United Kingdom,null,null,null,null,null,null,null,null,null,null,null
s368,null,null,null,null,null,null,null,null,null,null,null,null
s369,null,null,null,null,null,null,null,null,null,null,null,null
s370,null,null,null,null,null,null,null,null,null,null,null,null
s371,United States,null,null,null,null,null,null,null,null,null,null,null
s372,null,null,null,null,null,null,null,null,null,null,null,null
s373,null,null,null,null,null,null,null,null,null,null,null,null
s374,null,null,null,null,null,null,null,null,null,null,null,null
s375,Nigeria,null,null,null,null,null,null,null,null,null,null,null
s376,null,null,null,null,null,null,null,null,null,null,null,null
s377,null,null,null,null,null,null,null,null,null,null,null,null
s378,Poland,null,null,null,null,null,null,null,null,null,null,null
s379,United States,null,null,null,null,null,null,null,null,null,null,null
s380,null,null,null,null,null,null,null,null,null,null,null,null
s381,United States,null,null,null,null,null,null,null,null,null,null,null
s382,null,null,null,null,null,null,null,null,null,null,null,null
s383,United States,null,null,null,null,null,null,null,null,null,null,null
s384,India,null,null,null,null,null,null,null,null,null,null,null
s385,null,null,null,null,null,null,null,null,null,null,null,null
s386,Germany,null,null,null,null,null,null,null,null,null,null,null
s387,United States,Canada,null,null,null,null,null,null,null,null,null,null
s388,null,null,null,null,null,null,null,null,null,null,null,null
s389,null,null,null,null,null,null,null,null,null,null,null,null
s390,France,Israel,Germany,United States,United Kingdom,null,null,null,null,null,null,null
s391,United States,null,null,null,null,null,null,null,null,null,null,null
s392,Canada,United States,null,null,null,null,null,null,null,null,null,null
s393,United States,null,null,null,null,null,null,null,null,null,null,null
s394,Australia,null,null,null,null,null,null,null,null,null,null,null
s395,null,null,null,null,null,null,null,null,null,null,null,null
s396,null,null,null,null,null,null,null,null,null,null,null,null
s397,null,null,null,null,null,null,null,null,null,null,null,null
s398,null,null,null,null,null,null,null,null,null,null,null,null
s399,null,null,null,null,null,null,null,null,null,null,null,null
s400,null,null,null,null,null,null,null,null,null,null,null,null
s401,null,null,null,null,null,null,null,null,null,null,null,null
s402,Spain,null,null,null,null,null,null,null,null,null,null,null
s403,United Kingdom,null,null,null,null,null,null,null,null,null,null,null
s404,United States,null,null,null,null,null,null,null,null,null,null,null
s405,null,null,null,null,null,null,null,null,null,null,null,null
s406,null,null,null,null,null,null,null,null,null,null,null,null
s407,null,null,null,null,null,null,null,null,null,null,null,null
s408,null,null,null,null,null,null,null,null,null,null,null,null
s409,null,null,null,null,null,null,null,null,null,null,null,null
s410,null,null,null,null,null,null,null,null,null,null,null,null
s411,India,null,null,null,null,null,null,null,null,null,null,null
s412,null,null,null,null,null,null,null,null,null,null,null,null
s413,null,null,null,null,null,null,null,null,null,null,null,null
s414,null,null,null,null,null,null,null,null,null,null,null,null
s415,null,null,null,null,null,null,null,null,null,null,null,null
s416,India,null,null,null,null,null,null,null,null,null,null,null
s417,null,null,null,null,null,null,null,null,null,null,null,null
s418,null,null,null,null,null,null,null,null,null,null,null,null
s419,null,null,null,null,null,null,null,null,null,null,null,null
s420,null,null,null,null,null,null,null,null,null,null,null,null
s421,null,null,null,null,null,null,null,null,null,null,null,null
s422,null,null,null,null,null,null,null,null,null,null,null,null
s423,null,null,null,null,null,null,null,null,null,null,null,null
s424,null,null,null,null,null,null,null,null,null,null,null,null
s425,null,null,null,null,null,null,null,null,null,null,null,null
s426,United States,null,null,null,null,null,null,null,null,null,null,null
s427,New Zealand,null,null,null,null,null,null,null,null,null,null,null
s428,null,null,null,null,null,null,null,null,null,null,null,null
s429,null,null,null,null,null,null,null,null,null,null,null,null
s430,Nigeria,null,null,null,null,null,null,null,null,null,null,null
s431,null,null,null,null,null,null,null,null,null,null,null,null
s432,null,null,null,null,null,null,null,null,null,null,null,null
s433,null,null,null,null,null,null,null,null,null,null,null,null
s434,United States,null,null,null,null,null,null,null,null,null,null,null
s435,Argentina,null,null,null,null,null,null,null,null,null,null,null
s436,null,null,null,null,null,null,null,null,null,null,null,null
s437,Saudi Arabia,null,null,null,null,null,null,null,null,null,null,null
s438,United States,null,null,null,null,null,null,null,null,null,null,null
s439,null,null,null,null,null,null,null,null,null,null,null,null
s440,Thailand,null,null,null,null,null,null,null,null,null,null,null
s441,United States,null,null,null,null,null,null,null,null,null,null,null
s442,null,null,null,null,null,null,null,null,null,null,null,null
s443,United States,Canada,null,null,null,null,null,null,null,null,null,null
s444,null,null,null,null,null,null,null,null,null,null,null,null
s445,null,null,null,null,null,null,null,null,null,null,null,null
s446,United States,null,null,null,null,null,null,null,null,null,null,null
s447,United States,null,null,null,null,null,null,null,null,null,null,null
s448,United States,null,null,null,null,null,null,null,null,null,null,null
s449,United States,null,null,null,null,null,null,null,null,null,null,null
s450,United States,null,null,null,null,null,null,null,null,null,null,null
s451,United States,null,null,null,null,null,null,null,null,null,null,null
s452,United States,null,null,null,null,null,null,null,null,null,null,null
s453,Indonesia,null,null,null,null,null,null,null,null,null,null,null
s454,Japan,null,null,null,null,null,null,null,null,null,null,null
s455,null,null,null,null,null,null,null,null,null,null,null,null
s456,null,null,null,null,null,null,null,null,null,null,null,null
s457,South Korea,null,null,null,null,null,null,null,null,null,null,null
s458,Egypt,Denmark,Germany,null,null,null,null,null,null,null,null,null
s459,null,null,null,null,null,null,null,null,null,null,null,null
s460,United States,null,null,null,null,null,null,null,null,null,null,null
s461,United States,Canada,null,null,null,null,null,null,null,null,null,null
s462,null,null,null,null,null,null,null,null,null,null,null,null
s463,United States,null,null,null,null,null,null,null,null,null,null,null
s464,Italy,null,null,null,null,null,null,null,null,null,null,null
s465,null,null,null,null,null,null,null,null,null,null,null,null
s466,null,null,null,null,null,null,null,null,null,null,null,null
s467,null,null,null,null,null,null,null,null,null,null,null,null
s468,null,null,null,null,null,null,null,null,null,null,null,null
s469,null,null,null,null,null,null,null,null,null,null,null,null
s470,United States,Canada,null,null,null,null,null,null,null,null,null,null
s471,null,null,null,null,null,null,null,null,null,null,null,null
s472,null,null,null,null,null,null,null,null,null,null,null,null
s473,United States,null,null,null,null,null,null,null,null,null,null,null
s474,United States,null,null,null,null,null,null,null,null,null,null,null
s475,United States,Switzerland,null,null,null,null,null,null,null,null,null,null
s476,null,null,null,null,null,null,null,null,null,null,null,null
s477,null,null,null,null,null,null,null,null,null,null,null,null
s478,United States,null,null,null,null,null,null,null,null,null,null,null
s479,Germany,null,null,null,null,null,null,null,null,null,null,null
s480,null,null,null,null,null,null,null,null,null,null,null,null
s481,null,null,null,null,null,null,null,null,null,null,null,null
s482,null,null,null,null,null,null,null,null,null,null,null,null
s483,null,null,null,null,null,null,null,null,null,null,null,null
s484,null,null,null,null,null,null,null,null,null,null,null,null
s485,null,null,null,null,null,null,null,null,null,null,null,null
s486,null,null,null,null,null,null,null,null,null,null,null,null
s487,Hong Kong,Canada,United States,null,null,null,null,null,null,null,null,null
